signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x100000800C0463,410,766,17,0x18418080000860 => 0x22530100000060,11,0x20038100000318,13,0x20030300041060 => 0x22530100000060,9,0x10038080000063
0x840800200C23,410,700,48,0x4000e00105440 => 0x20808a00007100,24,0x1008200541022,28,0x4000e00105440 => 0x20808e00005100,14,0x210c0000003c20
0x9308400C63,409,792,26,0x300c1088304060 => 0x2130018401318,14,0xa00011840039c,16,0x9d0804031c => 0xf1008304460,9,0xa50011840011c
0x800184620C21,408,744,20,0x18600184620020 => 0x80418460088c,12,0x8186060c2020,15,0x80418460088c => 0x6180184620020,9,0x804784003820
0x108580C46C0421,408,702,28,0x31138184620022 => 0x8841847c0c44,17,0x108384840e3420,19,0x30238184620822 => 0x208bc104780808,10,0x1081c4841c6420
0x108430843FC421,408,632,29,0x1889b2c401a620 => 0x20c7310605a830,16,0x10c7b08403f020,22,0x10c5b0c401e620 => 0x20c3b50403c421,12,0x1087f08401f220
0x10807184200C2D,408,560,37,0x3080358402082d => 0x10803184220c2d,19,0x30807584000bc0,25,0x10803184220c2d => 0x3080358402082d,13,0x30807584000bc0
0x271001080043D,407,636,37,0x20880110804bc4 => 0x861120004885a,19,0x2270011080085a,26,0x11040110804bc4 => 0x861120004885a,13,0x2270011080085a
0x100000F7A00421,406,812,20,0x400f7a00888 => 0x800f7a00114,12,0x100448b5a20008,14,0x200000f7a000c1 => 0x440b5a20181,8,0x180400f7a00008
0x10843184218021,405,758,19,0xc0358401d020 => 0x89320419a020,11,0x88130040da220,13,0x2088318421c020 => 0x88318401f020,8,0x8338040da020
0x10019080200C2D,405,580,27,0x2003850084002d => 0x10018080c00b43,15,0x20030100c00bc4,19,0x2003850084002d => 0x10018080c00b43,10,0x20030100c00bc4
0x1080018C60042D,404,808,16,0x2020018c600b41 => 0x88018c60045a,9,0x100018c60043d,12,0x110018c60022d => 0x440018c6005b0,7,0x80018c6007a1
0x108C00842DF421,404,736,31,0x18898e84419220 => 0x20c78704258030,16,0xe1000842df421,23,0x18898e84419220 => 0x30c40704398830,12,0xe1000842df421
0x100400B5A0043D,404,692,18,0x608b5a000da => 0x201800b5a00b44,11,0x100400b5b0042d,13,0x20800b5b045a0 => 0x1208b5a0045a,9,0x200000b5b045a1
0x108000806C042D,404,632,29,0x202301006005a2 => 0x10218080600b41,15,0x108184800027a0,23,0x20230100600b44 => 0x10218080600b41,12,0x21030500002bc0
0x10139A80804421,404,540,57,0x22530110049288 => 0x301812809c0441,29,0x201393008008c6,43,0x201b810080921c => 0x20509300980843,22,0x20139300800631
0x108470842F8421,403,806,30,0x2083750407d020 => 0x208b710407b020,16,0x108470840fe420,18,0xc030c60db620 => 0x208b710407b020,10,0x108470840fe420
0x180200021,402,1004,15,0x110400080020 => 0x410400080040,9,0x410000280020,15,0x110400080020 => 0x410400080040,8,0x40180200020
0x101000F7A00421,402,804,28,0x100800f7a00114 => 0x100800f7a0080c,15,0x101000f7a00418,18,0x20000f7a00898 => 0x100800f7a0080c,10,0x101000f7a00418
0x300C0100580842,401,724,38,0x21008802c0630 => 0x21008802c0618,19,0x8d001c0843,24,0x21008802c0618 => 0x221309000020c4,12,0x20030300401c42
0x108180842E0423,400,736,30,0x8005861c0c43 => 0x208309043a4808,17,0xc4001843e0c20,19,0x2049843c4c20 => 0x208309043a4808,10,0x1083c0841c2420
0x108030842005AD,400,576,31,0x80b00428007f => 0x803284002fe0,18,0x823084200fe0,19,0x843104400b5a => 0x108031044005ad,12,0x823084200fe0
0x100580802C3421,398,734,20,0x4407803c0c40 => 0x180d805c0c20,12,0x300b8d80400300,16,0x10198c804c0420 => 0x4407803c0c40,9,0x30078f80200020
0x10039A80000461,397,648,50,0x18059080100198 => 0x220b0110004461,25,0x20039b00000861,43,0x10059880100198 => 0x22030310004461,22,0x20039b00000198
0x100400000005AD,396,820,14,0x204000000007f => 0x10080000000b5a,9,0xa000000000b5a,11,0x2200000000007f => 0x810000000007f,7,0x2020000007f
0x10800184638421,396,696,22,0x83840609a220 => 0x4180184638420,13,0x8104440db220,16,0x400078403e420 => 0x89c004698220,9,0x81460419e020
0x180C0085A,396,664,26,0x40058000805a => 0x118040105a,14,0x11c0008002d,22,0x4005808005a0 => 0x41100048002d,12,0x138040005a
0x108400F62D87A1,396,556,47,0x22048b41fb5a0 => 0x64004f60d97a0,24,0x60040b41ff5a0,33,0x64004f60d97a0 => 0x22048b41fb5a0,17,0x60248b40fb5a0
0x100000B7A0042D,394,746,15,0x800b7a00b44 => 0x200000f5a000da,10,0x100400f5a005a0,11,0x48b5a00b44 => 0x400f5a000da,7,0x100400b7a0002d
0x401FC200461,394,728,16,0x24001fc400188 => 0x80409fc200108,10,0x200801fc40010c,12,0x80005fc001062 => 0x100409fc200108,7,0x200801fc400460
0x180408C43,394,724,54,0x8410400880230 => 0xa500180408008,27,0x1b80007020,32,0x8410400880230 => 0xa500180408008,16,0x1b80007040
0x52920280007F,394,532,47,0x20101a408007ad => 0x184010049bda,24,0x5092028007ad,38,0x20101a4080047f => 0x208d010001bda,19,0x509202800b5e
0x80200460,392,976,14,0x8000500000108 => 0x400500000108,9,0x8500000108,11,0x900002060 => 0x8010000400108,8,0x10800200060
0x28C03,392,876,16,0xc1040000084 => 0x9002040003,10,0x2100012000003,11,0xc1040000084 => 0xc4010000210,6,0x2100012000084
0x187A00C01,392,642,27,0x4185a00403 => 0x100c0185a20000,16,0x30000187a00010,21,0xd0005aa0004 => 0x114005a80003,12,0x30004185a00800
0x10800085AC042D,392,632,23,0x20830105a005a2 => 0x11018085a00b41,12,0x10818085a0042d,15,0x11018085a000da => 0x20830105a0022d,8,0x20238105a0005a
0x18000842F8421,391,694,26,0x42000c42d8422 => 0x11818086218820,13,0x42000842fc420,18,0x18200862d8420 => 0x42000c42d8422,10,0x42000c40de420
0x184018C2005A1,390,728,14,0x2180018c4000da => 0x180078c00022d,10,0x2180018c002bc0,10,0x1180098c20002d => 0x430018c20022d,7,0x1180018c2007a0
0x2108018C400FE2,390,696,23,0x3000d8c00087f => 0x880098c20047f,12,0x2108018c400fe2,19,0x3000d8c00087f => 0x880098c20047f,10,0x2108018c400fe2
0x70000C7C0061,390,688,22,0x1112008c60030c => 0x18800d0c043060,13,0x10c4010c640860,18,0x880068c106460 => 0xc6008c600198,9,0x1070000c7c0060
0x10840010800C03,389,812,28,0x4060810904001 => 0x10220810904400,14,0x10840010800294,19,0x4060810904001 => 0x10220810904400,10,0xa700010800014
0x100401FC600C01,388,776,30,0x81001fc600c04 => 0x304001fc600090,17,0x18000ffc003000,19,0x304001fc600090 => 0x81001fc600c04,11,0xc01fc600281
0x100C0087A00403,388,728,24,0xc8105a24c00 => 0x2100845ac0210,12,0x85000c5a00214,15,0x30004905a40003 => 0xa100805ae4000,8,0x30040107a00c01
0x108430840D8423,388,716,31,0x20833304059022 => 0x88b304199820,16,0x108038841dc420,19,0x208c30840dc420 => 0x20833304059022,10,0x2083b90401c820
0x18280003D,388,648,27,0x9400088002d => 0x5100208005a,15,0x418080003d,21,0x5100208005a => 0x5400088005a,11,0x1000418080005a
0x1087F084000463,387,682,50,0x30c430860c0461 => 0x18c5b0c4000861,25,0x1083f884000c61,38,0x30c430860c0461 => 0x18c5b0c4000861,19,0x1083f88400019c
0x108400F7A00431,386,772,36,0x41800f7a00846 => 0x230800f7a00888,18,0x108440b5b20421,23,0x207000f7a00888 => 0x41800f7a00846,12,0x108448b5a20421
0x20081100449842,386,644,24,0x51800348111 => 0x1960010c441,12,0x39e00008842,18,0x8051000348111 => 0x80016001cc041,9,0x39e00008842
0x88000B42FB5A1,386,592,20,0x82000b62db5a1 => 0x10406f42d85a2,11,0x40400f42db5a1,14,0x40840b42db5a1 => 0x2008b42fb5a1,8,0x2000b42ff5a1
0x800084220020,384,900,12,0x804104400100 => 0x4000486000040,8,0x814004200020,9,0x210004220008 => 0x210044002020,5,0x804084200020
0x800084218230,384,772,15,0x4000504018023 => 0x30200084418020,9,0x80000409a230,11,0x8c00084418020 => 0x8c00104218020,7,0xc40000409a020
0x10019082000C5A,384,552,26,0x1003c08010805a => 0x2003011200023d,17,0x200341100000de,20,0x300011001a082d => 0x100180c0800b43,14,0x100d80828005a0
0x50138180043D,384,532,42,0x240018180985e => 0x203981108105a,24,0x53920188005a,31,0x20501381800b44 => 0x1308110c80da,18,0x2050138180085a
0x2DA00000C14,384,528,28,0x18400212100414 => 0xa040840840211,16,0x30440002049810,25,0xa040800964001 => 0x10024a10100414,14,0x20409202000c11
0x2800FFC001C,382,748,24,0xa0c008fe00c40 => 0x3000010fe00383,15,0x3004010fe00843,13,0x3000010fe00631 => 0xa0c008fe00218,8,0x3008008fe00423
0x18803FC401062,382,688,19,0x118009fc200063 => 0x318005fc004460,15,0x318007fc000460,12,0x318003fc002460 => 0x118009fc200318,9,0x318009fc200061
0x1184008000047F,382,576,59,0x1830800001fe0 => 0x2180028010007f,30,0x218083000005ad,39,0x1830800001fe0 => 0x2180820008007f,20,0x2180830000007f
0x21089000000C03,381,658,50,0x23100800800211 => 0x6180000009610,25,0x8609200000610,32,0xc08200009610 => 0x88c0000009610,16,0xa700000049002
0x5200B7B00014,380,720,26,0x248b5a00886 => 0x221800b5b24000,16,0x100408b5a24401,16,0x225000b7a00801 => 0x100800b7a00c06,10,0x184400f5a00401
0x8400B4200C63,380,716,35,0x40200b440039c => 0x8c004b410018c,18,0x10c00b420038c,21,0x40200b440039c => 0x8204b410019c,11,0x27000b4200318
0x10840184638C21,380,656,32,0x8c106061da020 => 0xc440184638821,18,0x110c0184638421,22,0xc440184638821 => 0x8c106061da020,12,0x8384040ff020
0x100580842DF421,380,636,23,0x3013818441e822 => 0x20078704398830,13,0x100780842db421,20,0x20070f04398830 => 0x3013818441e822,10,0x200801845dec22
0x108000F43237A1,380,548,21,0x82240f42035b1 => 0x10406f43207a2,11,0x40000f43277a1,15,0x82240f42035b1 => 0x1080cf45217a0,8,0x2000f43277a1
0x101000B5A00401,378,710,16,0x200b5a00890 => 0x81800b5a04000,10,0x5000b5a00011,11,0x200b5a00890 => 0x81800b5a00200,8,0x104000b5b00010
0x10800184620C21,378,696,20,0x188c0184620020 => 0x804184600c31,13,0x30800184620821,15,0x80418460089c => 0xe180184620020,8,0x8306041e2020
0x818646018631,378,628,40,0x1030490423c421 => 0x6064084538421,20,0x8c18646018421,27,0x6064084538421 => 0x2030488423c821,14,0x818646018631
0x108000B5A00021,377,780,15,0x11000b5a000c0 => 0x2008b5b00100,11,0x88008b5a00020,12,0x10800b5a00840 => 0x11000b5a000c0,8,0x82008b5a00008
0x108780806005A3,376,528,33,0x18858080600c2d => 0x230b0100600c5a,17,0x108f80806007a0,25,0x188580806000de => 0x230b0100600bc4,13,0x10c186800075a0
0x108180C7A00423,376,512,33,0x102180c7a00314 => 0xc5000c7ac0408,22,0x2000c7ac061c,25,0x20234105a24c08 => 0x110000c7ac0618,17,0x2000c7ac061c
0x10040080800C63,374,716,28,0x300c1080104060 => 0xa510010005108,15,0x409300041118,18,0x2100900840318 => 0x18800840863,9,0xa500100800862
0x108000B4200C63,374,708,31,0x820eb4104108 => 0x302000b4401c60,16,0xa7000b4200061,19,0x302000b4401c60 => 0x820eb4104108,10,0x82000b4400c63
0x100401843DFC21,374,552,34,0x2013090439b831 => 0x3047818441f022,23,0x4401843dbc31,30,0x2040f843d8c22 => 0x1009843dbc31,20,0x100401843dfc21
0x10058087AC043D,374,502,66,0x10044185bc0c5a => 0x20074105b8482d,33,0x30538187a0005a,51,0x20074105b8482d => 0x20074105bc085a,26,0x300b8187a007a0
0x108400B5A00C23,372,712,24,0x231800b5a00310 => 0x86000b5a008c6,16,0x110c00b5a0028c,13,0xe0c00b5a00218 => 0x10c00b5a00c1c,9,0xe1000b5a00384
0x180608842,372,692,16,0x31000680044 => 0x2010000788040,11,0x20081180600040,12,0x430000688040 => 0x1780002030,7,0x71000680040
0x104400B7A00601,372,592,25,0x224000f5a04081 => 0x200400f5a04281,15,0x4600b5a24081,19,0x101200b7a00602 => 0x105200b7a00402,12,0x20648b5a00401
0x100F808000043D,372,504,38,0x4083001c482d => 0x18118880000bc4,19,0x100f808000043d,30,0x181188800005a3 => 0x20430300004c2d,15,0x100f808000043d
0x310C01005A0800,370,704,27,0x40089003e4800 => 0x30800502180803,14,0x1000e800e5400,16,0x108182c0401c00 => 0x20230300421c00,8,0x800b001a7800
0x100000B42D85A1,370,686,17,0x4004b40d87a0 => 0x24000b44d85a0,9,0x208b40da5a0,13,0x24000b44d85a0 => 0x4004b40d87a0,7,0x200b40da5b0
0x2118016BC09846,370,512,36,0x1820017b449382 => 0x2070936bc00111,19,0x2118016bc09846,27,0x20c0017b449898 => 0x1820017b449382,14,0x2118936bc00842
0x168400B42D85A3,369,500,42,0x2d0002b44d85a3 => 0xb600b42d87b0,22,0x2f0002b40db5a0,32,0x2d0002b44d85a3 => 0xb408b42dc7a0,16,0x16800cb41dc5a0
0x1000F7A0009C,368,736,35,0x100800f7a000c4 => 0x21048b5b20100,18,0x185000f7a00100,22,0x100800f7a000c4 => 0x21048b5b20008,11,0x185000f7a00020
0x10001180600C21,368,656,24,0x18500180608040 => 0x431400082230,13,0x1f80006840,18,0x18500180608040 => 0x431400082230,9,0x10001f80006040
0x20401FC200461,368,642,26,0x24001fc401860 => 0x204401fc400061,14,0x20801fc003460,18,0x20000dfc001860 => 0x24001fc401860,11,0x220007fc000062
0x10803484000C23,368,630,46,0x803b040070c0 => 0x8c3104204c40,23,0x10803a84007100,26,0x10803f04005100 => 0x8c3104204c40,13,0x10803a84007100
0x108400B4200C63,367,698,26,0x40e00b4401c60 => 0x8c006b410018c,13,0xe0000b4200c63,16,0x8c006b410018c => 0x40206b4001c62,8,0x308c00b4400862
0x100400B5A00631,366,656,26,0x221800b5b04100 => 0x208b5a008c6,14,0x184400b5a00421,16,0x208b5a008c6 => 0xa0c00b5a00441,9,0x100400b5a00631
0x100000B46005A1,363,706,21,0x204000b460002d => 0x200b460082d,11,0x80000b46005a1,16,0x220004b40025a0 => 0x200b46000da,9,0xcb40027a0
0x8000B7A00420,362,740,13,0x40000b7a0000c => 0x2000b5a20104,10,0x2000f5a04020,9,0x210000b7a00040 => 0x208000f5a00040,7,0x8400f5a00008
0xE00018C007C60,362,720,18,0x89820c580063 => 0xc7000c4c0063,9,0xe00018c007c60,12,0xe44018c400198 => 0x89820c580063,6,0xe00018c007c60
0x1001808FE00421,362,574,18,0x2003010fe00114 => 0x1001808fe000c2,11,0x2013810fe00040,13,0x1001808fe000c2 => 0x2003010fe00288,8,0x1007808fe00008
0x1084318421C021,361,612,25,0x83340409d220 => 0x8bb20409a020,14,0xc730042d8020,18,0x10c03584019820 => 0x1088318401b820,11,0x8138042d8221
0x1080018C600C2D,360,720,28,0x8c0018c600b41 => 0x31800c6c002d,15,0x40c018c600bc0,19,0x610018c6005b0 => 0x310018c6000da,10,0x3020018c600bc0
0x108000F7A00031,360,720,46,0x82000f7a00888 => 0x41800f7a00110,23,0x108048b5a20021,29,0x82000f7a00888 => 0x102048b5b20100,15,0x108048b5a20021
0x108400847F8423,360,616,29,0x11138084638c22 => 0x10718084638c22,15,0x1083ce8401b420,20,0x20638104678821 => 0x227000c46d8421,10,0x1083ce8401b420
0x103240B412040C,360,604,40,0x18c002f6000441 => 0x208800f6001630,20,0x103240b412040c,27,0x208800f6001630 => 0x18c002f6000441,14,0x103048b402440c
0x200B8300400863,360,592,41,0x220f0100204461 => 0x180d8080401862,21,0x18000e801c1460,31,0x18058880304188 => 0x220b0300007460,16,0xa0401005c0863
0x100400F5B20601,360,532,18,0x81248f5a00402 => 0x104248b7a00082,13,0x104648b7a00080,14,0x24248b7a00801 => 0x4448b7b00410,10,0x180640f5a00401
0x300000B4220423,360,496,63,0x4eb4005440 => 0x24cb4104088,32,0x8f4200c43,37,0x4ab4007440 => 0x24cb4104088,19,0x8f420029c
0x20180180C00846,359,592,33,0x8011c001c1022 => 0x22040180c008c1,17,0x2030e100800c2,23,0x2440180c00898 => 0x8011c001c1022,12,0x2030e100800c2
0x1085B0840005A3,359,500,25,0x80b1041c482d => 0x208f3104001b40,14,0x1081b2840055a0,18,0xc230841c045a => 0x208f3104001b40,10,0x1081b08400063d
0x1000018C000C62,358,758,14,0x9020c081062 => 0x2218018c000108,8,0x800018c001c60,10,0x7080c084060 => 0x2210018c000118,6,0x800018c001c60
0x10858087AC042D,357,480,65,0x30838187a005a2 => 0x31038187a00b41,33,0x10618085ae042d,44,0x20834105b8482d => 0x30838187a005a2,22,0x10200187bc0c2d
0x180600421,356,756,12,0x1806000c2 => 0x8000580002440,8,0xa000180600040,9,0x18000680030 => 0x50000680220,6,0x20080180600100
0x2108018C6008C6,356,712,28,0xa20018c6008c6 => 0x18c4018c600288,14,0x73000c78001c,17,0x450018c6008c6 => 0x2318018c600114,9,0xe00018c600383
0x100000840D8423,356,704,14,0x20430104018c20 => 0x20438104058020,9,0x21000840dc420,11,0x2180104198820 => 0x18018084018230,7,0x300000840dc420
0x200F4100400843,356,684,22,0x21800820c2630 => 0xa42805c1408,12,0x1003c280107020,13,0x21800c00c2630 => 0x200fc100046100,8,0x20034b00007820
0x108001807C0C21,356,580,56,0x31138180600088 => 0x41001807c0c30,28,0x210b0100780821,35,0x31138180600110 => 0x41001807c0c30,18,0x103180806c0418
0x104400B5A00621,356,536,29,0x220800b5a04288 => 0x105200b5a00106,15,0x20600b5a00431,21,0x204400b5b04088 => 0x105200b5a00106,11,0x20400b5a04381
0x108580862005BD,356,476,37,0x208bc104002fe0 => 0x208040843c047f,19,0x7000862c047f,28,0x20c30506000fe1 => 0x208040843c047f,14,0x2108010638087f
0x108400C7AC042D,355,492,41,0x106180c7a000da => 0x4024085ae442d,21,0x8400c7ac043d,28,0x106180c7a0082d => 0x4024085ae442d,15,0x1033c085a2002d
0x100000B7A00021,354,694,17,0x40b5a00888 => 0x40b5a00821,10,0x100008f5a00020,13,0x40b5a00841 => 0x40b5a00888,8,0x81000b7a00020
0x108000B5A00C2D,354,686,34,0x2008b5a000de => 0x31000b5a000da,17,0x8200b5b005a1,21,0x40008b5a00c2d => 0x40c00b5a000da,11,0x8c000b5a005a1
0x202B4105000,354,644,35,0xa02b4101000 => 0x4202b4101000,20,0x21200b4000210,21,0xe00b4101000 => 0x202b4101010,13,0x21200b4000210
0x2100018C5C0C62,354,644,28,0x20c0018c5c0c60 => 0x1105888c0c2460,14,0x600018c1c3c60,22,0x2220018c5c0c60 => 0x1101848c0c1462,11,0x600018c1c3c60
0x1084008C6F8461,354,618,29,0x11018e8c03a860 => 0x1111808c638862,16,0x10c0010c7f8860,18,0x10818e8c03a860 => 0x1111808c638862,10,0x2030010c7f8860
0x10139E8080042D,354,488,25,0x22430100c4905e => 0x1051968090005e,13,0x22039f10000bc0,23,0x20531300c4005e => 0x2053170080062d,12,0x22079110200bc1
0x38003800C7F,352,672,26,0x3000490184007f => 0x2130013001b5a,16,0x3004008380087f,16,0x84180418045ad => 0x1002480198007f,9,0x20080103800c7f
0x843186200C2D,352,488,26,0x108031862005a3 => 0x8431862005a3,13,0x308071844007a0,19,0x84318620023d => 0x10803186200bc4,10,0x308075840007a0
0x100400B5A00C61,351,606,22,0x221000b5a00861 => 0x21200b5a00861,12,0x4000b5b0019c,15,0x304000b5a00861 => 0x21200b5a00861,8,0x4000b5b0019c
0x180408C40,350,674,20,0x10400880043 => 0x1380401008,11,0x30400188040,14,0x1780001008 => 0x10000c80043,8,0x1180400c40
0x10843186218C21,350,560,34,0x10807384419822 => 0xc3b6040b9020,17,0x881b0042fc021,25,0x30807384418421 => 0x83b606099220,13,0x881b0042fc021
0x108000B5A00C61,349,635,23,0x23008b5b00108 => 0x31000b5a00861,12,0x8000b5b0019c,17,0x311800b5a00060 => 0x31000b5a00861,9,0x10000b5b0019c
0x30040000000803,348,816,12,0xc0000041210 => 0x420200101080,10,0x18400000000610,9,0x88200041002 => 0xa0200101400,7,0x30040000000803
0x108C3084000403,348,636,32,0x8c13004104084 => 0x8c03084000886,16,0x8fb004000003,22,0x8c03084000886 => 0xc33004100094,11,0x86b0041c0001
0x100590806C0421,348,592,26,0x100411807c0c08 => 0x101384808c2440,15,0x20031500187840,16,0x30039580007100 => 0x10019c800c2444,9,0x200b1100780842
0x101000B5A00411,348,588,22,0x100800b5b00410 => 0x80408b5a00801,11,0x180400b5a00011,17,0x100800b5b00410 => 0x80408b5a00801,9,0x180400b5a00011
0x100408843DC421,348,528,33,0x10478084418c22 => 0x204087041dc820,17,0x100c00841df420,23,0x2043870401cc20 => 0x10478084418c22,12,0x100408843dc421
0x3CE00000611,348,476,28,0x10024e00081282 => 0xa090200127400,14,0x180802c0401602,25,0x20008e40084281 => 0x10520482001c02,13,0x20448102240811
0x1087F08460042D,347,480,37,0x108471047c082d => 0x1087b0846205a2,21,0x1881b0c46007a1,27,0x1881b0c46005b1 => 0x1085b0c46005b1,15,0x1083f0846007a2
0x802C0423,346,716,12,0x2100100182820 => 0x8400100182840,9,0x18418480000100,9,0x21000804c0408 => 0x20030d00004008,6,0x30000100380840
0x840840000C23,345,478,66,0x8c000021000c6 => 0x808a40041022,33,0x1000a40001c22,37,0x40c00021000c6 => 0x8c8040041022,19,0x210c0040001c20
0x10000180600C01,344,736,16,0x2010600082084 => 0x8410400086200,10,0x106000c2210,12,0x18500180600000 => 0x21104000c2004,7,0x10000580006c00
0x2008018C600846,344,688,29,0x19800c780044 => 0x2044018c6000c1,15,0xa04018c600380,21,0x18000d8c003220 => 0x2240018c600111,11,0xa04018c600380
0x21000B5A00401,344,648,24,0x200b5a00884 => 0x21800b5a04000,13,0x4200b5b00010,15,0x8b5a00203 => 0x221000b5b00000,8,0x208b5a00210
0x108040842E3421,344,584,24,0x40042844e6422 => 0x20c1043a3821,14,0x10c180c6203021,17,0x108447043a0808 => 0x1089cc84421100,10,0x10c180c6203021
0x201B930080085E,342,468,23,0x205093009808da => 0x220891101818da,18,0x201b930080085e,21,0x22039b1000045e => 0x2207011004cbc1,17,0x201813009c085e
0x100001FC200C61,341,611,27,0x300803fc400108 => 0x300003fc400061,14,0x180001fc400c60,19,0x300803fc400108 => 0x300003fc400188,10,0x180005fc000c60
0x1080018C600C31,340,680,34,0x410018c60089c => 0xe18018c600088,17,0xc000f8c006180,21,0x410018c60089c => 0xe18018c600088,11,0xc000f8c006180
0x1085B684200C61,340,648,35,0x208c30842c3461 => 0x308830842c3461,18,0x208b3f04400063,23,0x1081b284507062 => 0x88b1043c3861,12,0x2083b104203c61
0x182800C08,340,642,19,0x1382001020 => 0xd00000a8008,11,0x30004180800008,14,0x1382001040 => 0xc4180008040,9,0x31002180008
0x8000F4200C63,340,628,44,0x8004b6000c63 => 0x40040b440039c,22,0xa7000f4200060,26,0x8004b6000c63 => 0x40040b440039c,13,0x308c00f4400060
0x1080018C23C061,340,608,29,0x80038c438861 => 0x113000c2f8060,15,0xc00018c03e860,22,0x81020c4f8061 => 0x113000c2f8060,11,0x108018c03e860
0x63000818C043D,340,460,33,0x3188011118085a => 0x11818081804c2d,17,0x18c00818c043d,24,0x18200819c442d => 0x118c011118085a,12,0x63000819c042d
0xA00018C005060,339,668,13,0x1000038c00030c => 0x43000c0c0062,9,0xa00018c001860,10,0x200098c000198 => 0x1820c184060,7,0xb8c000461
0x108400B46D87A1,339,480,43,0x44204b40df5a0 => 0x11000cb41db5a0,22,0xe0000b47d85a1,32,0x44204b40db7a0 => 0x11000cb41db5a0,16,0x108400b47d85a1
0x108000F7A0042D,338,676,20,0x41000f7a00b44 => 0x30000f7a000da,11,0x8000f7a0043d,12,0x202000f7a000da => 0x41240b5a2002d,7,0x2000f7a0043d
0x108400863C0463,338,544,33,0x208f8106200461 => 0x208c40843c4460,17,0xc600862c0463,22,0x2080cd04184861 => 0x208881063c0862,11,0x10c58086200863
0x1033B68180043D,338,468,21,0x2033b70180062d => 0x222027111c88da,14,0x2033bf0180003d,18,0x2223bf1100042d => 0x2223bd110007a1,13,0x2033b70180083d
0x1184008C0C0463,336,672,27,0x1184090c184860 => 0x180830c180863,15,0x118f808c000460,19,0x1181888c104061 => 0x2183030c041062,10,0x218f810c000860
0x604018C003C60,334,648,20,0x105880c0c3060 => 0x2260018c40018c,10,0x604018c003c60,14,0x2304018c40018c => 0x81820c581062,7,0x604018c003c60
0x100000F42005AD,334,568,25,0x440b440007f => 0x80004b6000b5a,13,0x4cb4000fe0,21,0x204b600007f => 0x42b44005ad,11,0x4cb400007f
0x470000008007F,334,563,22,0x4220080000bda => 0x1850000004fe0,13,0x1180000018007f,15,0x4200880000b5e => 0x1890000001fe0,9,0x218000000c007f
0x10803084200C63,333,656,28,0x823e84104108 => 0x308030044c0063,15,0x308c3104400860,16,0x8c1300420418c => 0x823e84104108,9,0x30803104200c61
0x108780807C0421,332,616,24,0x20c385001c2830 => 0x111384801c2444,13,0x108780807c0441,15,0x30c38580002c30 => 0x311005801c2c44,8,0x110b80807c0422
0xF4200C20,332,608,15,0xc40b4002040 => 0xb4220023,9,0x300000f4200020,10,0x300000b6002100 => 0x40b4400184,7,0x84000f4200100
0x1021B68100002D,332,520,21,0x2023251100022d => 0x1021a48110805a,11,0x2023250180085a,15,0x202325110005a2 => 0x2023250100845a,8,0x2023350100085a
0x10018085A00C01,332,516,19,0x8905b84800 => 0x20030905a44000,11,0x10038085a00210,15,0x18018085a00c00 => 0x20030905a44000,8,0x30000085bc0400
0x108401FC203C61,332,460,28,0x311001fc406462 => 0x110407fc200463,16,0x210801fc406c62,19,0x311001fc406462 => 0x223001fc203861,10,0xe0001fc203c61
0x10000087AC042D,331,532,19,0x100180c5a000da => 0x20074105a00b40,10,0x10000087ac042d,15,0x100180c5a0082d => 0x20030107a005a2,8,0x10018087a0042d
0x1080008C6C0463,330,608,19,0x3080070c182860 => 0x22008c7c0461,10,0x20010c7c0863,14,0x2103070c043060 => 0x22008c7c0461,7,0x20010c7c0863
0x104400B7A0043D,330,526,26,0x105200b7a00b44 => 0x101200b7a00b46,14,0x20400b5b245a1,19,0x101200b7a00b46 => 0x105200b7a00b44,11,0x20400b5b245a1
0x1800085AE0421,330,496,29,0x4200105ba0821 => 0x1800087ac0620,17,0x4200087bc0408,23,0x4200105ba0821 => 0x1800087ac0620,13,0x11800085ae0420
0x10843084200C63,329,650,25,0x10863884304108 => 0x1084310440039c,14,0x308c3104400388,14,0x10823084500463 => 0x8803e8400418c,8,0x308c3104400461
0x461,328,948,11,0x200040108 => 0x20000040060,7,0x862,9,0x20000000004108 => 0x180000000060,6,0x8800000060
0x80200C2D,328,640,12,0x102004015a0 => 0x804000de,9,0x840008020002d,9,0x2048010002d => 0x840000048002d,7,0x3000008040002d
0x180608C42,328,604,18,0x11c00082230 => 0x8440180608040,11,0x11c00186040,14,0x11c00082230 => 0x8440180608040,7,0x71000780040
0x211801108008C2,328,534,31,0xa210010900191 => 0xc00920018c041,16,0x20609100009818,22,0xc08900018c041 => 0xa210010900191,12,0x20609100009818
0x2DA00000C06,328,440,34,0x20449000065800 => 0xac200009602,20,0x2064810000283,29,0x20449000065800 => 0x30001a00160006,16,0x22500050005280
0x1004018C200FE1,326,568,26,0x3820c48007f => 0x200038c40087f,13,0x200018c204fe1,22,0x200038c400bda => 0x1020c5c007f,11,0x200018c204fe1
0x1004018C3C0C61,326,556,25,0x301b818c200308 => 0x3003838c400388,13,0x200018c3c4c61,21,0x3043818c204860 => 0x3003838c40011c,11,0x208018c1c6c60
