signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x1087F68420042D,882,1248,27,0x1089bc844215a2 => 0x2087370426082d,15,0x1881b0c42037a1,21,0x108437043e082d => 0x1089bc844215a2,12,0x10c5b68620003d
0x10863084018421,880,1478,23,0x2088b20409c020 => 0xc6b00409c020,14,0x1084308401c421,18,0x10c43104058030 => 0x10823884018822,11,0xc7b004018021
0x10800421,878,2170,15,0x8000010800110 => 0x20010804008,9,0x1000049040,13,0x10804808 => 0x20001000008408,7,0x20000108000c0
0x10018080003D,878,1536,25,0x19800015a0 => 0x40118000105a,15,0x40018080085a,21,0x45100008005a => 0x5080088005a,12,0x10018080085a
0x10039A8000043D,878,1240,27,0x204781008007a1 => 0x1805808090043d,17,0x201b810080085e,23,0x1805888080085e => 0x101200808c462d,15,0x1043928000043d
0x10058087AC0411,878,1204,67,0x20070905ba0801 => 0x20074105b84801,34,0x10478087ac0400,55,0x44185bc4c01 => 0x30078985a20001,28,0x3007c985a00800
0x100400806C043D,876,1256,60,0x10138080600b41 => 0x204381006005a2,30,0x100b808060045a,47,0x204381006005a2 => 0x10138080600b41,24,0x200401007c082d
0x108000F42005AD,872,1512,28,0x88004b6000b5a => 0x40440b440007f,16,0x4004cb40005ad,23,0x40204b6000fe0 => 0x8042b4400b5a,13,0x4004cb4000fe0
0x108400B43DB5A1,871,1262,26,0x1040eb42d87a2 => 0x82008b42db5b1,13,0xe0406b42d87a0,19,0x1040eb42d87a2 => 0x82008b43db5a1,11,0x230800b42db5a1
0x100C00B40D87A1,870,1212,33,0x220002b40d85a3 => 0x202b40d97a2,22,0x180400b40d87b0,27,0x220008b40dc5a1 => 0x208b40d87a3,18,0x100400b40d97b0
0x103FE08104000,869,1632,26,0x10f6018003c00 => 0x3026208589010,15,0x210c7108200290,16,0x11026c88900003 => 0x3106d18005200,9,0x31087088400c02
0x7200B7B0001C,868,1592,30,0xa2000b7a008c6 => 0x231800b7a00288,20,0x108400f5a00631,17,0x30c400f5a00841 => 0x40248b5a00c1c,13,0x188400f5a0021c
0x1004018C200C61,864,1676,28,0xb820c083060 => 0x208038c003860,14,0x200018c204c61,24,0x3020c4c1062 => 0x2000d8c004861,12,0x200018c204c61
0x100000B4000463,862,1560,28,0x300802b4000108 => 0x25200b4000060,14,0xa0000b4000c60,22,0x300802b4000108 => 0x25200b4000060,11,0xa0000b4000c60
0x1085F084200C61,862,1516,43,0x1081f48410418c => 0x308870842c4460,22,0x20837f04000318,30,0x108bf084304060 => 0x1083bc8402018c,15,0x1081fe84000063
0x108580802C3421,860,1512,25,0x1180d805c0c20 => 0x20870700384808,16,0x20870700380841,18,0x110180802c3431 => 0x20830100586846,12,0x1040f803c0c20
0x108000846D8421,859,1562,30,0x11118084618820 => 0x20c30104618420,16,0x103000846d8420,21,0x21130104658020 => 0x10c18084718020,12,0x11000847d8420
0x1084018C238061,858,1556,23,0x1110018c238062 => 0x400038c438461,14,0x1084018c03a860,17,0x880058c038461 => 0x23000c2f8062,9,0xe00018c438860
0x1082308423C021,856,1456,46,0xc1340407c820 => 0x8a720409a220,23,0x108036440d8021,35,0x10c0350407c020 => 0x827204498221,18,0x108036440d8021
0x168400F42005A3,852,1440,38,0x30b400b44205a1 => 0x168440b4400c2d,20,0x168006f40017a0,28,0x168440b44007b0 => 0x30b400b44205a1,15,0x168006b40255a0
